Age,Salary,Budget,category
55,16,10000,resort
30,12,3000,cafe
33,13,1000,nature
60,15,2000,nature
55,29,500,art
25,29,2000,pub
61,6,1000,pub
30,15,10000,nature
53,26,2000,cafe
46,25,500,art
21,4,10000,fine dining
45,29,500,nature
36,21,10000,resort
59,7,10000,nature
65,6,3000,adventure
65,24,5000,art
63,22,500,art
18,1,500,nature
22,14,5000,fine dining
31,19,2000,cafe
47,15,10000,resort
29,9,5000,fine dining
25,13,500,nature
51,29,3000,resort
30,13,1000,adventure
50,5,500,art
63,8,5000,pub
32,28,3000,cafe
52,9,10000,nature
21,19,2000,adventure
46,8,2000,cafe
30,5,500,art
24,21,3000,adventure
42,25,10000,resort
59,29,5000,pub
52,19,5000,fine dining
44,7,1000,nature
60,10,1000,nature
60,10,2000,pub
64,11,500,nature
25,9,2000,nature
61,13,5000,cafe
43,12,500,nature
42,17,500,nature
51,8,500,cafe
18,2,10000,fine dining
56,19,2000,pub
30,18,1000,nature
64,13,2000,pub
31,28,5000,resort
58,7,10000,art
54,27,3000,fine dining
30,25,500,nature
62,15,500,nature
38,30,1000,nature
58,25,2000,nature
29,8,3000,adventure
33,5,2000,cafe
59,25,1000,art
20,29,2000,art
63,7,10000,pub
21,4,500,cafe
29,15,1000,fine dining
24,25,3000,adventure
36,30,500,nature
35,13,1000,nature
21,9,5000,fine dining
58,13,10000,cafe
18,2,3000,pub
65,26,10000,resort
18,2,3000,pub
53,18,5000,resort
56,20,10000,fine dining
47,10,10000,resort
63,7,3000,pub
38,28,1000,art
28,23,500,nature
49,10,2000,cafe
53,26,2000,cafe
55,4,10000,art
34,29,3000,cafe
29,16,1000,pub
18,2,500,nature
56,9,2000,resort
35,9,10000,resort
64,4,2000,pub
33,28,2000,nature
34,28,3000,cafe
52,25,3000,fine dining
50,16,3000,resort
51,19,500,nature
62,10,1000,nature
34,16,1000,cafe
30,8,1000,nature
48,20,2000,nature
32,29,10000,resort
41,9,5000,resort
27,17,10000,fine dining
47,30,500,art
63,6,1000,cafe
57,7,3000,resort
44,17,3000,fine dining
60,25,2000,resort
26,20,2000,adventure
24,29,3000,adventure
47,6,1000,nature
58,9,3000,adventure
61,19,3000,fine dining
32,16,10000,resort
33,5,10000,resort
24,21,10000,resort
53,30,10000,resort
34,24,10000,resort
20,4,1000,nature
20,29,500,cafe
21,18,10000,resort
44,23,10000,resort
25,21,1000,nature
64,18,3000,nature
61,28,5000,resort
51,18,5000,art
46,14,3000,fine dining
40,30,1000,nature
30,11,3000,cafe
40,21,10000,resort
45,10,3000,fine dining
47,24,500,nature
63,18,1000,nature
22,18,1000,nature
51,22,500,pub
22,23,1000,resort
37,18,3000,fine dining
20,4,1000,nature
29,5,500,cafe
58,19,500,art
27,23,1000,fine dining
27,25,2000,adventure
34,15,1000,fine dining
58,28,3000,adventure
35,9,2000,cafe
26,19,5000,fine dining
58,24,10000,adventure
64,11,10000,art
21,8,10000,resort
30,12,5000,nature
18,1,500,cafe
62,11,10000,cafe
30,15,2000,cafe
49,28,3000,nature
53,15,500,art
33,5,3000,cafe
32,6,5000,resort
42,22,2000,cafe
37,4,500,nature
50,23,2000,art
25,22,3000,pub
19,1,10000,fine dining
32,20,3000,fine dining
27,10,3000,adventure
29,27,3000,adventure
50,9,1000,art
52,4,5000,fine dining
46,21,1000,art
49,27,3000,fine dining
65,24,2000,nature
26,28,10000,cafe
38,15,10000,resort
19,2,2000,adventure
21,30,5000,fine dining
42,30,1000,nature
31,23,5000,resort
60,25,1000,nature
20,23,10000,resort
23,25,5000,fine dining
53,24,5000,cafe
39,8,3000,fine dining
62,7,1000,resort
21,25,1000,cafe
32,8,500,fine dining
20,27,5000,resort
46,18,1000,nature
42,18,1000,resort
29,6,10000,fine dining
22,11,5000,fine dining
41,23,5000,resort
59,21,3000,art
43,27,3000,fine dining
45,23,2000,fine dining
19,1,3000,adventure
35,15,1000,art
64,25,500,fine dining
24,26,3000,pub
23,26,1000,cafe
57,6,2000,resort
40,20,2000,cafe
48,27,2000,cafe
27,20,1000,cafe
45,30,10000,resort
39,9,10000,resort
43,29,2000,fine dining
35,8,10000,resort
29,12,1000,nature
35,17,2000,cafe
62,27,5000,cafe
22,9,1000,cafe
45,5,10000,resort
35,23,3000,cafe
50,7,5000,art
19,2,3000,pub
28,13,3000,adventure
55,10,500,fine dining
46,21,3000,fine dining
39,28,5000,resort
30,19,5000,nature
26,10,3000,resort
34,17,10000,resort
23,22,500,fine dining
32,4,500,nature
25,4,1000,nature
57,23,1000,pub
37,5,500,nature
31,19,3000,cafe
37,27,10000,resort
28,23,500,cafe
40,4,3000,fine dining
57,9,3000,cafe
19,2,500,nature
18,1,3000,adventure
47,23,500,nature
22,6,10000,fine dining
51,4,5000,cafe
41,30,2000,fine dining
63,10,2000,cafe
25,13,1000,nature
29,12,1000,art
64,10,5000,fine dining
40,28,3000,cafe
36,26,2000,fine dining
36,20,1000,nature
62,22,500,nature
39,8,3000,fine dining
